"","symbol","weight"
"45242","AGRP",1
"83920","AGT",5
"89665","AGTPBP1",10
"74466","AGTR1",4
"74467","AGTR2",3
"74468","AGTRAP",1
"21111","AGXT",1
"74469","AGXT2",2
"40394","AGXT2L1",3
"81235","AGXT2L2",5
"86394","AHCTF1",20
"51162","AHCY",3
"68766","AHCYL1",2
"63195","AHCYL2",5
"47555","AHDC1",5
"88774","AHI1",8
"87026","AHNAK",34
"89297","AHNAK2",34
"71245","AHR",2
"87580","AHRR",5
"51163","AHSA1",2
"51888","AHSG",1
"56286","AHSP",1
"12008","AIDA",2
"22227","AIF1L",1
"46429","AIFM1",3
"64041","AIFM2",2
"39179","AIFM3",2
"51889","AIG1",3
"81236","AIM1",14
"63960","AIM1L",5
"81941","AIM2",3
"72260","AIMP1",1
"85141","AIMP2",2
"25657","AIP",1
"24353","AIPL1",3
"6280","AIRE",1
"51625","AJAP1",5
"11875","AJUBA",1
"65709","AK1",1
"48137","AK2",1
"27965","AK3",2
"39910","AK4",2
"74476","AK5",4
"74477","AK7",4
"30346","AK8",2
"88775","AKAP1",4
"22513","AKAP10",1
"84061","AKAP11",13
"87226","AKAP12",11
"86129","AKAP13",18
"70708","AKAP14",1
"81238","AKAP17A",6
"84062","AKAP3",7
"74482","AKAP4",8
"88069","AKAP6",17
"59457","AKAP7",1
"86130","AKAP8",4
"59887","AKAP8L",4
"74490","AKAP9",27
"85143","AKD1",23
"85017","AKIRIN1",2
"83819","AKNA",8
"74493","AKNAD1",6
"3903","AKR1A1",1
"51902","AKR1B1",3
"51903","AKR1B10",1
"61897","AKR1B15",1
"69052","AKR1C1",6
"72180","AKR1C2",3
"9188","AKR1C3",1
"74495","AKR1C4",3
"80910","AKR1CL1",11
"17123","AKR1D1",1
"65714","AKR7A2",1
"35953","AKR7A3",1
"65715","AKR7L",3
"35316","AKT1",2
"88154","AKT2",5
"55402","AKT3",4
"80186","AKTIP",2
"51907","ALAS1",6
"87938","ALAS2",8
"85144","ALB",3
"88579","ALCAM",7
"45326","ALDH16A1",3
"51290","ALDH18A1",4
"83669","ALDH1A1",5
"48139","ALDH1A2",1
"84063","ALDH1A3",8
"14833","ALDH1B1",1
"84873","ALDH1L1",10
"90400","ALDH1L2",9
"59744","ALDH2",3
"69055","ALDH3A1",3
"85145","ALDH3A2",4
"39181","ALDH3B2",6
"68767","ALDH4A1",3
"45619","ALDH5A1",2
"74499","ALDH6A1",1
"45582","ALDH8A1",3
"83921","ALDH9A1",1
"80697","ALDOA",6
"65720","ALDOB",3
"18514","ALDOC",2
"22522","ALG1",2
"68126","ALG10",3
"87027","ALG10B",6
"25720","ALG11",1
"67610","ALG12",4
"74500","ALG13",5
"38859","ALG14",1
"515","ALG1L",1
"87028","ALG2",2
"82580","ALG3",1
"56699","ALG5",6
"87029","ALG6",2
"87837","ALG8",2
"74502","ALG9",2
"88644","ALK",11
"83059","ALKBH1",3
"89075","ALKBH2",2
"80327","ALKBH3",1
"82976","ALKBH5",3
"59745","ALKBH7",2
"74505","ALKBH8",4
"74506","ALLC",4
"89485","ALMS1",25
"68702","ALOX12",7
"81730","ALOX12B",4
"85147","ALOX15",5
"69058","ALOX15B",5
"64718","ALOX5",3
"6225","ALOX5AP",1
"87749","ALOXE3",7
"60453","ALPK1",3
"83922","ALPK2",8
"83739","ALPK3",9
"74514","ALPL",1
"71072","ALPP",4
"33047","ALPPL2",2
"64809","ALS2",9
"83923","ALS2CL",4
"88615","ALS2CR11",12
"74518","ALS2CR12",2
"73244","ALS2CR8",4
"27796","ALX1",2
"72694","ALX3",1
"89852","ALX4",3
"47558","ALYREF",1
"57191","AMACR",2
"88777","AMBN",8
"70607","AMBP",2
"71424","AMBRA1",10
"85148","AMD1",2
"87799","AMDHD1",4
"72261","AMDHD2",5
"14335","AMELX",2
"25918","AMH",1
"72695","AMHR2",3
"81732","AMICA1",6
"74519","AMIGO1",2
"40443","AMIGO2",1
"85149","AMIGO3",3
"34985","AMMECR1",1
"83599","AMMECR1L",2
"58694","AMN",1
"13452","AMN1",1
"69063","AMOT",9
"87227","AMOTL1",7
"59195","AMOTL2",2
"74520","AMPD1",9
"57006","AMPD2",2
"48143","AMPD3",7
"88616","AMPH",9
"18371","AMT",1
"39771","AMY1A",1
"74521","AMY1C",1
"74522","AMY2A",5
"51933","AMY2B",1
"85150","AMZ1",2
"40447","AMZ2",4
"89572","ANAPC1",11
"45024","ANAPC10",1
"40451","ANAPC11",1
"67611","ANAPC4",4
"73164","ANAPC5",6
"68703","ANAPC7",5
"71523","ANGEL1",2
"39249","ANGEL2",3
"70849","ANGPT1",6
"12791","ANGPT2",2
"89012","ANGPT4",10
"58695","ANGPTL1",2
"5581","ANGPTL2",1
"80699","ANGPTL3",4
"27797","ANGPTL4",1
"80700","ANGPTL5",2
"60312","ANGPTL6",3
"27231","ANGPTL7",1
"88674","ANK1",19
"86399","ANK2",29
"88070","ANK3",28
"87031","ANKAR",9
"51940","ANKDD1A",3
"81242","ANKDD1B",2
"73081","ANKFN1",7
"88347","ANKFY1",7
"90468","ANKH",3
"74539","ANKHD1",16
"40460","ANKIB1",3
"56044","ANKK1",4
"32901","ANKLE1",1
"83481","ANKLE2",7
"47559","ANKMY1",4
"40461","ANKMY2",2
"17070","ANKRA2",1
"88728","ANKRD1",2
"74541","ANKRD10",3
"90028","ANKRD11",16
"88481","ANKRD12",23
"17707","ANKRD13A",1
"47560","ANKRD13B",1
"55322","ANKRD13C",2
"72022","ANKRD13D",4
"40467","ANKRD16",2
"88779","ANKRD17",13
"74545","ANKRD18A",5
"80598","ANKRD18B",5
"69072","ANKRD2",3
"46581","ANKRD20A1",1
"17620","ANKRD20A2",2
"87529","ANKRD20A4",9
"37461","ANKRD22",3
"74548","ANKRD24",4
"74550","ANKRD26",9
"84067","ANKRD27",8
"87394","ANKRD28",13
"87939","ANKRD29",1
"88781","ANKRD30A",9
"86402","ANKRD30B",17
"81244","ANKRD31",8
"89541","ANKRD32",6
"10489","ANKRD33",2
"45419","ANKRD33B",2
"16496","ANKRD34A",2
"74563","ANKRD34B",5
"88205","ANKRD34C",6
"70711","ANKRD35",5
"85018","ANKRD36",9
"10491","ANKRD36BP1",1
"747","ANKRD36BP2",1
"86410","ANKRD36C",16
"59288","ANKRD37",1
"65438","ANKRD39",1
"51946","ANKRD40",3
"59536","ANKRD42",2
"40481","ANKRD44",3
"85155","ANKRD45",1
"40482","ANKRD46",1
"85157","ANKRD49",4
"40483","ANKRD5",2
"73166","ANKRD50",6
"88206","ANKRD52",3
"74572","ANKRD53",1
"56291","ANKRD54",2
"74573","ANKRD55",2
"56800","ANKRD6",5
"14181","ANKRD60",1
"89573","ANKRD61",2
"48664","ANKRD62",4
"45327","ANKRD65",2
"24262","ANKRD7",1
"87941","ANKS1A",3
"56148","ANKS1B",7
"51954","ANKS4B",3
"81245","ANKS6",7
"47384","ANKZF1",4
"84072","ANLN",8
"87942","ANO1",5
"74577","ANO10",5
